timestamp,allocated,active,metadata,resident,mapped
6258166480646000,174823424,194609152,4147144,198672384,515276800
6258166493261000,174823424,194609152,4147144,198672384,515276800
6258166505874000,174823424,194609152,4147144,198672384,515276800
6258166518485000,174823424,194609152,4147144,198672384,515276800
6258166531094000,174823424,194609152,4147144,198672384,515276800
6258166543709000,174823424,194609152,4147144,198672384,515276800
6258166556319000,174823424,194609152,4147144,198672384,515276800
6258166568926000,174823424,194609152,4147144,198672384,515276800
6258166581531000,174823424,194609152,4147144,198672384,515276800
6258166594146000,174823424,194609152,4147144,198672384,515276800
6258166605731000,174823424,194609152,4147144,198672384,515276800
6258166618351000,174823424,194609152,4147144,198672384,515276800
6258166630961000,174823424,194609152,4147144,198672384,515276800
6258166643581000,174823424,194609152,4147144,198672384,515276800
6258166656186000,174823424,194609152,4147144,198672384,515276800
6258166668789000,174823424,194609152,4147144,198672384,515276800
6258166681393000,174823424,194609152,4147144,198672384,515276800
6258166694000000,174823424,194609152,4147144,198672384,515276800
6258166706603000,174823424,194609152,4147144,198672384,515276800
6258166719207000,174823424,194609152,4147144,198672384,515276800
6258166731810000,174823424,194609152,4147144,198672384,515276800
6258166744415000,174823424,194609152,4147144,198672384,515276800
6258166757021000,174823424,194609152,4147144,198672384,515276800
6258166769630000,174823424,194609152,4147144,198672384,515276800
6258166782238000,174823424,194609152,4147144,198672384,515276800
6258166794856000,174823424,194609152,4147144,198672384,515276800
6258166807463000,174823424,194609152,4147144,198672384,515276800
6258166820071000,174823424,194609152,4147144,198672384,515276800
6258166832680000,174823424,194609152,4147144,198672384,515276800
6258166845305000,174823424,194609152,4147144,198672384,515276800
6258166857911000,174823424,194609152,4147144,198672384,515276800
6258166870520000,174823424,194609152,4147144,198672384,515276800
6258166883126000,174823424,194609152,4147144,198672384,515276800
6258166895732000,174823424,194609152,4147144,198672384,515276800
6258166908332000,174823424,194609152,4147144,198672384,515276800
6258166920937000,174823424,194609152,4147144,198672384,515276800
6258166933538000,174823424,194609152,4147144,198672384,515276800
6258166946340000,174823424,194609152,4147144,198672384,515276800
6258166959052000,174823424,194609152,4147144,198672384,515276800
6258166972246000,174823424,194609152,4147144,198672384,515276800
6258166985689000,174823424,194609152,4147144,198672384,515276800
6258166995917000,174823424,194609152,4147144,198672384,515276800
6258167007467000,174823424,194609152,4147144,198672384,515276800
6258167020083000,174823424,194609152,4147144,198672384,515276800
6258167031921000,174823424,194609152,4147144,198672384,515276800
6258167044552000,174823424,194609152,4147144,198672384,515276800
6258167057164000,174823424,194609152,4147144,198672384,515276800
6258167069794000,174823424,194609152,4147144,198672384,515276800
6258167082407000,174823424,194609152,4147144,198672384,515276800
6258167095028000,174823424,194609152,4147144,198672384,515276800
6258167107641000,174823424,194609152,4147144,198672384,515276800
6258167120250000,174823424,194609152,4147144,198672384,515276800
6258167132862000,174823424,194609152,4147144,198672384,515276800
6258167145476000,174823424,194609152,4147144,198672384,515276800
6258167155735000,174823424,194609152,4147144,198672384,515276800
6258167168348000,174823424,194609152,4147144,198672384,515276800
6258167180311000,174823424,194609152,4147144,198672384,515276800
6258167192932000,174823424,194609152,4147144,198672384,515276800
6258167205568000,174823424,194609152,4147144,198672384,515276800
6258167218179000,174823424,194609152,4147144,198672384,515276800
6258167230797000,174823424,194609152,4147144,198672384,515276800
6258167243413000,174823424,194609152,4147144,198672384,515276800
6258167256019000,174823424,194609152,4147144,198672384,515276800
6258167268627000,174823424,194609152,4147144,198672384,515276800
6258167281234000,174823424,194609152,4147144,198672384,515276800
6258167293858000,174823424,194609152,4147144,198672384,515276800
6258167306495000,174823424,194609152,4147144,198672384,515276800
6258167319119000,174823424,194609152,4147144,198672384,515276800
6258167330759000,174823424,194609152,4147144,198672384,515276800
6258167343386000,174823424,194609152,4147144,198672384,515276800
6258167356000000,174823424,194609152,4147144,198672384,515276800
6258167368612000,174823424,194609152,4147144,198672384,515276800
6258167381581000,174823424,194609152,4147144,198672384,515276800
6258167394204000,174823424,194609152,4147144,198672384,515276800
6258167406491000,174823424,194609152,4147144,198672384,515276800
6258167419114000,174823424,194609152,4147144,198672384,515276800
6258167430755000,174823424,194609152,4147144,198672384,515276800
6258167443385000,174823424,194609152,4147144,198672384,515276800
6258167455638000,174823424,194609152,4147144,198672384,515276800
6258167468251000,174823424,194609152,4147144,198672384,515276800
6258167480554000,174823424,194609152,4147144,198672384,515276800
6258167493173000,174823424,194609152,4147144,198672384,515276800
6258167505644000,174823424,194609152,4147144,198672384,515276800
6258167518266000,174823424,194609152,4147144,198672384,515276800
6258167530721000,174823424,194609152,4147144,198672384,515276800
6258167543337000,174823424,194609152,4147144,198672384,515276800
6258167555956000,174823424,194609152,4147144,198672384,515276800
6258167568571000,174823424,194609152,4147144,198672384,515276800
6258167580746000,174823424,194609152,4147144,198672384,515276800
6258167593444000,174823424,194609152,4147144,198672384,515276800
6258167606063000,174823424,194609152,4147144,198672384,515276800
6258167618685000,174823424,194609152,4147144,198672384,515276800
6258167631313000,174823424,194609152,4147144,198672384,515276800
6258167643970000,174823424,194609152,4147144,198672384,515276800
6258167655634000,153032704,169459712,4147144,173522944,515276800
6258167666522000,140384256,155009024,4147144,158941184,515276800
6258167676765000,126179328,138477568,4147144,142540800,515276800
6258167687063000,84252672,91209728,4147144,95272960,515276800
6258167697694000,29759488,31768576,4147144,35831808,515276800
6258167708834000,29759488,31768576,4147144,35831808,515276800
6258167719176000,30234624,32325632,4147144,36388864,517373952
6258167731674000,30660608,32817152,4147144,37011456,519471104
6258167742561000,31184896,33423360,4147144,37486592,521568256
6258167755271000,31692800,34013184,4147144,38076416,523665408
6258167767897000,32200704,34603008,4147144,38666240,525762560
6258167780630000,32724992,35209216,4147144,39272448,527859712
6258167793381000,33101824,35651584,4147144,39714816,529956864
6258167806019000,33495040,36110336,4147144,40173568,532054016
6258167816511000,33921024,36601856,4147144,40665088,534151168
6258167827985000,34363392,37109760,4147144,41172992,536248320
6258167839920000,34936832,37765120,4148296,41828352,538345472
6258167851457000,35166208,38027264,4150216,42090496,540442624
6258167861642000,35575808,38502400,4152136,42565632,542539776
6258167873619000,36083712,39092224,4154440,43155456,544636928
6258167886239000,36460544,39534592,4156744,43597824,546734080
6258167898620000,36837376,39976960,4159048,44056576,548831232
6258167911281000,37246976,40452096,4160968,44531712,550928384
6258167921749000,37705728,40992768,4163272,45072384,553025536
6258167932186000,38033408,41369600,4164808,45449216,555122688
6258167944602000,38459392,41861120,4167112,45940736,557219840
6258167957243000,38967296,42450944,4169416,46530560,559316992
6258167969872000,39409664,42958848,4171720,47038464,561414144
6258167982498000,39868416,43499520,4174024,47710208,563511296
6258167995114000,40425472,44138496,4176712,48234496,565608448
6258168005276000,40589312,44335104,4178632,48431104,567705600
6258168017923000,41015296,44826624,4180552,48922624,569802752
6258168030543000,41424896,45301760,4182856,49397760,571899904
6258168041024000,41785344,45727744,4185160,49823744,573997056
6258168051283000,42145792,46153728,4187080,50249728,576094208
6258168061480000,42506240,46563328,4189000,50659328,578191360
6258168074113000,42817536,46923776,4190920,51019776,580288512
6258168084844000,43276288,47448064,4193608,51560448,584482816
6258168096032000,43603968,47824896,4195144,51937280,584482816
6258168107804000,44161024,48463872,4197448,52576256,586579968
6258168120436000,44668928,49037312,4199752,53149696,588677120
6258168133047000,45078528,49512448,4202056,53624832,590774272
6258168143184000,45438976,49938432,4203976,54050816,592871424
6258168155829000,45963264,50544640,4206280,54657024,594968576
6258168168263000,46536704,51200000,4208200,55328768,597065728
6258168179271000,46798848,51511296,4208200,55640064,599162880
6258168191441000,47306752,52101120,4208200,56229888,603357184
6258168204103000,47634432,52477952,4208200,56606720,605454336
6258168216307000,48027648,52936704,4208200,57196544,607551488
6258168226601000,48470016,53444608,4208200,57573376,607551488
6258168237000000,48879616,53919744,4208200,58048512,611745792
6258168249619000,49387520,54509568,4208200,58638336,613842944
6258168262044000,49960960,55164928,4208200,59293696,615940096
6258168274666000,50321408,55590912,4208200,59719680,618037248
6258168284836000,50599936,55918592,4208200,60047360,618037248
6258168297470000,51058688,56459264,4210504,60588032,622231552
6258168310050000,51402752,56852480,4212040,60981248,622231552
6258168322663000,51976192,57507840,4214728,61636608,626425856
6258168333002000,52500480,58114048,4217032,62242816,628523008
6258168343310000,52811776,58474496,4218568,62603264,628523008
6258168355925000,53303296,59031552,4220872,63160320,632717312
6258168368205000,53876736,59686912,4223176,63815680,634814464
6258168380819000,54450176,60342272,4225480,64487424,636911616
6258168393214000,54958080,60932096,4227784,65077248,639008768
6258168404790000,55334912,61374464,4230088,65519616,641105920
6258168417440000,55891968,62013440,4232392,66158592,643203072
6258168430072000,56399872,62603264,4234696,66748416,645300224
6258168442713000,56678400,62930944,4236616,67076096,647397376
6258168455348000,57169920,63504384,4238920,67649536,649494528
6258168465846000,57694208,64110592,4241224,68272128,651591680
6258168478574000,58169344,64651264,4243528,68812800,653688832
6258168491144000,58595328,65142784,4245832,69451776,655785984
6258168503868000,59136000,65765376,4247752,69926912,657883136
6258168516506000,59693056,66420736,4250440,70582272,659980288
6258168529237000,59873280,66633728,4252744,70926336,662077440
6258168541857000,60446720,67289088,4254664,71598080,664174592
6258168552061000,60839936,67747840,4256968,72040448,666271744
6258168564670000,61380608,68370432,4258888,72548352,668368896
6258168576557000,61921280,68993024,4261192,73170944,670466048
6258168587894000,62216192,69337088,4263496,73515008,672563200
6258168598965000,62593024,69779456,4265416,73957376,674660352
6258168609891000,62986240,70238208,4267336,74416128,676757504
6258168622512000,63461376,70795264,4269640,74973184,678854656
6258168635129000,63969280,71385088,4271944,75563008,680951808
6258168647857000,64395264,71876608,4274248,76070912,683048960
6258168660494000,64935936,72499200,4276552,76693504,685146112
6258168671776000,65280000,72908800,4278856,77103104,687243264
6258168682442000,65525760,73203712,4280776,77398016,689340416
6258168694961000,65804288,73515008,4282696,77856768,691437568
6258168707584000,66164736,73924608,4285000,78118912,693534720
6258168717823000,66639872,74465280,4287304,78659584,695631872
6258168730453000,67196928,75104256,4289608,79298560,697729024
6258168740724000,67606528,75579392,4291528,79790080,699826176
6258168752850000,68065280,76103680,4293448,80314368,701923328
6258168765475000,68491264,76595200,4295752,80805888,704020480
